Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.13  245911/245911      Ngrams::sortMap() [14]
[16]    10.5    0.00    0.13  245911         std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::insert(std::pair<int const, std::string> const&) [16]
                0.00    0.13  245911/245911      std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_equal<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&) [15]
-----------------------------------------------
                0.00    0.03 7589714/31073454     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int> >*, std::_Rb_tree_node<std::pair<std::string const, int> >*, std::string const&) [13]
                0.01    0.04 11738197/31073454     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_insert_unique_pos(std::string const&) [6]
                0.01    0.04 11745543/31073454     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int> > const*, std::_Rb_tree_node<std::pair<std::string const, int> > const*, std::string const&) const [9]
[17]     9.7    0.02    0.10 31073454         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, int> > const*) [17]
                0.06    0.00 31073454/34084485     std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const [24]
                0.05    0.00 31073454/31073454     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, int> > const*) [25]
-----------------------------------------------
                0.03    0.08  245911/245911      std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_equal<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&) [15]
[18]     9.1    0.03    0.08  245911         std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_insert_equal_pos(int const&) [18]
                0.03    0.00 7202162/7448072     std::less<int>::operator()(int const&, int const&) const [28]
                0.00    0.02 7202162/7202162     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::string> > const*) [38]
                0.02    0.00 6921441/7167352     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_right(std::_Rb_tree_node_base*) [42]
                0.00    0.01  245911/245911      std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int const, std::string> >*&, std::_Rb_tree_node<std::pair<int const, std::string> >*&, void>(std::_Rb_tree_node<std::pair<int const, std::string> >*&, std::_Rb_tree_node<std::pair<int const, std::string> >*&) [66]
                0.00    0.00  280721/526632      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_left(std::_Rb_tree_node_base*) [116]
                0.00    0.00  245911/245912      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_begin() [131]
                0.00    0.00  245911/491822      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_end() [121]
-----------------------------------------------
                0.11    0.00 33147289/33147289     std::less<std::string>::operator()(std::string const&, std::string const&) const [10]
[19]     8.5    0.11    0.00 33147289         bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [19]
-----------------------------------------------
                0.01    0.08  899594/899594      main [1]
[20]     7.3    0.01    0.08  899594         WordList::addWord(std::string) [20]
                0.04    0.04  899594/899594      std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&) [21]
-----------------------------------------------
                0.04    0.04  899594/899594      WordList::addWord(std::string) [20]
[21]     6.5    0.04    0.04  899594         std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&) [21]
                0.00    0.03      21/21          void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&) [27]
                0.00    0.01  899573/899594      decltype (_S_construct({parm#1}, {parm#2}, (forward<std::string const&>)({parm#3}))) std::allocator_traits<std::allocator<std::string> >::construct<std::string, std::string const&>(std::allocator<std::string>&, std::string*, std::string const&) [67]
-----------------------------------------------
                0.00    0.00  245911/10096947     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, int> >*) [53]
                0.03    0.00 4080557/10096947     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int> >*, std::_Rb_tree_node<std::pair<std::string const, int> >*, std::string const&) [13]
                0.04    0.00 5770479/10096947     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_insert_unique_pos(std::string const&) [6]
[22]     5.7    0.07    0.00 10096947         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_right(std::_Rb_tree_node_base*) [22]
-----------------------------------------------
                0.05    0.02  899594/899594      Ngrams::Ngrams(int, WordList const&) [2]
[23]     5.4    0.05    0.02  899594         Ngrams::getNextNgram(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >) [23]
                0.01    0.00 1383440/1383440     bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [59]
                0.01    0.00 1591748/2491343     bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&) [56]
                0.00    0.00 1591747/1591747     __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const [100]
                0.00    0.00 1383440/2283034     __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator++(int) [95]
                0.00    0.00  691286/691286      std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [115]
                0.00    0.00  691286/691286      std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [114]
-----------------------------------------------
                0.00    0.00  245910/34084485     std::_Rb_tree_iterator<std::pair<std::string const, int> > std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_<std::pair<std::string const, int> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, int> const&) [70]
                0.00    0.00  691286/34084485     std::pair<std::_Rb_tree_iterator<std::pair<std::string const, int> >, bool> std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_unique<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&) [5]
                0.00    0.00 2073835/34084485     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_key(std::_Rb_tree_node_base const*) [37]
                0.06    0.00 31073454/34084485     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, int> > const*) [17]
[24]     5.3    0.07    0.00 34084485         std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const [24]
-----------------------------------------------
                0.05    0.00 31073454/31073454     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, int> > const*) [17]
[25]     3.7    0.05    0.00 31073454         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, int> > const*) [25]
-----------------------------------------------
                0.00    0.04       1/1           main [1]
[26]     3.3    0.00    0.04       1         Ngrams::~Ngrams() [26]
                0.00    0.03       1/1           std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~multimap() [35]
                0.00    0.01       1/1           std::map<std::string, int, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::~map() [52]
-----------------------------------------------
                0.00    0.03      21/21          std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&) [21]
[27]     2.4    0.00    0.03      21         void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&) [27]
                0.00    0.03      21/21          std::string* std::__uninitialized_move_if_noexcept_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&) [32]
                0.00    0.00      21/899594      decltype (_S_construct({parm#1}, {parm#2}, (forward<std::string const&>)({parm#3}))) std::allocator_traits<std::allocator<std::string> >::construct<std::string, std::string const&>(std::allocator<std::string>&, std::string*, std::string const&) [67]
                0.00    0.00      21/2698803     std::string const& std::forward<std::string const&>(std::remove_reference<std::string const&>::type&) [55]
                0.00    0.00      42/43          std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() [162]
                0.00    0.00      21/21          std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned long, char const*) const [175]
                0.00    0.00      21/21          std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned long) [176]
                0.00    0.00      21/105         std::vector<std::string, std::allocator<std::string> >::size() const [160]
                0.00    0.00      21/22          void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>&) [172]
                0.00    0.00      21/22          std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned long) [170]
-----------------------------------------------
                0.00    0.00  245910/7448072     std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_<std::pair<int const, std::string> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int const, std::string> const&) [49]
                0.03    0.00 7202162/7448072     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_insert_equal_pos(int const&) [18]
[28]     2.4    0.03    0.00 7448072         std::less<int>::operator()(int const&, int const&) const [28]
-----------------------------------------------
                0.00    0.03      21/21          std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*) [30]
[29]     2.4    0.00    0.03      21         std::string* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*) [29]
                0.00    0.02 1048596/1048596     bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&) [46]
                0.01    0.00 1048575/1048575     std::move_iterator<std::string*>::operator++() [61]
                0.00    0.00 1048575/1048575     std::move_iterator<std::string*>::operator*() const [104]
                0.00    0.00 1048575/2996744     std::string* std::__addressof<std::string>(std::string&) [91]
                0.00    0.00 1048575/1048575     void std::_Construct<std::string, std::string>(std::string*, std::string&&) [105]
-----------------------------------------------
                0.00    0.03      21/21          std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&) [31]
[30]     2.4    0.00    0.03      21         std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*) [30]
                0.00    0.03      21/21          std::string* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*) [29]
-----------------------------------------------
                0.00    0.03      21/21          std::string* std::__uninitialized_move_if_noexcept_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&) [32]
[31]     2.4    0.00    0.03      21         std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&) [31]
                0.00    0.03      21/21          std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*) [30]
-----------------------------------------------
                0.00    0.03      21/21          void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&) [27]
[32]     2.4    0.00    0.03      21         std::string* std::__uninitialized_move_if_noexcept_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&) [32]
                0.00    0.03      21/21          std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&) [31]
                0.00    0.00      42/42          std::move_iterator<std::string*> std::__make_move_if_noexcept_iterator<std::string*, std::move_iterator<std::string*> >(std::string*) [168]
-----------------------------------------------
                              245911             std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
                0.00    0.03       1/1           std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~_Rb_tree() [34]
[33]     2.1    0.00    0.03       1+245911  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
                0.01    0.02  245911/245911      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, std::string> >*) [36]
                0.00    0.00  245911/7167352     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_right(std::_Rb_tree_node_base*) [42]
                0.00    0.00  245911/526632      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_left(std::_Rb_tree_node_base*) [116]
                              245911             std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
-----------------------------------------------
                0.00    0.03       1/1           std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~multimap() [35]
[34]     2.1    0.00    0.03       1         std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~_Rb_tree() [34]
                0.00    0.03       1/1           std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
                0.00    0.00       1/245912      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_begin() [131]
                0.00    0.00       1/1           std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_Rb_tree_impl<std::less<int>, true>::~_Rb_tree_impl() [206]
-----------------------------------------------
                0.00    0.03       1/1           Ngrams::~Ngrams() [26]
[35]     2.1    0.00    0.03       1         std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~multimap() [35]
                0.00    0.03       1/1           std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::~_Rb_tree() [34]
-----------------------------------------------
                0.01    0.02  245911/245911      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
[36]     2.0    0.01    0.02  245911         std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, std::string> >*) [36]
                0.01    0.01  245911/245911      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, std::string> >*) [51]
                0.00    0.00  245911/491822      std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_Node_allocator() [120]
                0.00    0.00  245911/245911      void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, std::string> > >::destroy<std::_Rb_tree_node<std::pair<int const, std::string> > >(std::_Rb_tree_node<std::pair<int const, std::string> >*) [135]
-----------------------------------------------
                0.00    0.00  245910/2073835     std::_Rb_tree_iterator<std::pair<std::string const, int> > std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_<std::pair<std::string const, int> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, int> const&) [70]
                0.00    0.00  445375/2073835     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&) [12]
                0.00    0.01  691273/2073835     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_insert_unique_pos(std::string const&) [6]
                0.00    0.01  691277/2073835     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&) const [8]
[37]     1.9    0.01    0.02 2073835         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_key(std::_Rb_tree_node_base const*) [37]
                0.02    0.00 2073835/2073835     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_value(std::_Rb_tree_node_base const*) [50]
                0.00    0.00 2073835/34084485     std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const [24]
-----------------------------------------------
                0.00    0.02 7202162/7202162     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_insert_equal_pos(int const&) [18]
[38]     1.9    0.00    0.02 7202162         std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::string> > const*) [38]
                0.02    0.00 7202162/7939893     std::_Select1st<std::pair<int const, std::string> >::operator()(std::pair<int const, std::string> const&) const [41]
                0.01    0.00 7202162/7202162     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<int const, std::string> > const*) [71]
-----------------------------------------------
                0.00    0.02       1/1           main [1]
[39]     1.6    0.00    0.02       1         Ngrams::printIncreasing() [39]
                0.02    0.00  245912/245912      std::_Rb_tree_iterator<std::pair<int const, std::string> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, std::string> > const&) const [48]
                0.00    0.00       1/1           std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::begin() [82]
                0.00    0.00       1/1           std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::end() [81]
                0.00    0.00  245911/245911      std::_Rb_tree_iterator<std::pair<int const, std::string> >::operator*() const [141]
                0.00    0.00  245911/491822      std::pair<int const, std::string>::pair(std::pair<int const, std::string> const&) [118]
                0.00    0.00  245911/737733      std::pair<int const, std::string>::~pair() [108]
                0.00    0.00  245911/245911      std::_Rb_tree_iterator<std::pair<int const, std::string> >::operator++() [150]
-----------------------------------------------
                0.00    0.00  245911/9722786     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, int> >*) [53]
                0.01    0.00 3509157/9722786     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int> >*, std::_Rb_tree_node<std::pair<std::string const, int> >*, std::string const&) [13]
                0.01    0.00 5967718/9722786     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_insert_unique_pos(std::string const&) [6]
[40]     1.6    0.02    0.00 9722786         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_left(std::_Rb_tree_node_base*) [40]
-----------------------------------------------
                0.00    0.00  245910/7939893     std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_<std::pair<int const, std::string> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int const, std::string> const&) [49]
                0.00    0.00  245910/7939893     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_key(std::_Rb_tree_node_base const*) [69]
                0.00    0.00  245911/7939893     std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_equal<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&) [15]
                0.02    0.00 7202162/7939893     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::string> > const*) [38]
[41]     1.6    0.02    0.00 7939893         std::_Select1st<std::pair<int const, std::string> >::operator()(std::pair<int const, std::string> const&) const [41]
-----------------------------------------------
                0.00    0.00  245911/7167352     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::string> >*) [33]
                0.02    0.00 6921441/7167352     std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_insert_equal_pos(int const&) [18]
[42]     1.6    0.02    0.00 7167352         std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_S_right(std::_Rb_tree_node_base*) [42]
-----------------------------------------------
                0.02    0.00 6173752/6173752     std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, int> > const*, std::_Rb_tree_node<std::pair<std::string const, int> > const*, std::string const&) const [9]
[43]     1.6    0.02    0.00 6173752         std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_right(std::_Rb_tree_node_base const*) [43]
-----------------------------------------------
                0.02    0.00 1799189/1799189     Ngrams::Ngrams(int, WordList const&) [2]
[44]     1.6    0.02    0.00 1799189         std::vector<std::string, std::allocator<std::string> >::end() const [44]
                0.00    0.00 1799189/4082224     __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&) [90]
-----------------------------------------------
                0.01    0.01 1048596/1048596     bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&) [46]
[45]     1.6    0.01    0.01 1048596         bool std::operator==<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&) [45]
                0.01    0.00 2097192/2097192     std::move_iterator<std::string*>::base() const [57]
-----------------------------------------------
